"section","day","date","date_iso","session_type","time_of_day","title","presenters","description"
"Tuesday 6/23/2026 Workshops: Full Day","Tuesday","6/23/2026","2026-06-23","Full Day",NA,"Mixed Methods Research into Social Networks","Elisa Bellotti","The workshop focuses on the use of mixed methods research designs when studying whole and ego-centered social networks. The workshop will be conducted in two parts. The first part introduces social network qualitative research and the principles of mixed methods research designs and its contributions to the study of social networks, pointing out advantages and challenges of this approach. Illustrations of the theoretical and methodological aspects are given by bringing examples from a variety of fields of research. The second part is devoted to the presentation of concrete procedures to apply mixed methods in network research both at the level of data collection and analysis. This part includes an introduction of different approaches to the collection of whole and ego-centered network data, i.e. interviews, ethnographic methods, archival data, together with visual instruments. It then moves to the analysis of the quantitative and qualitative dimensions of network relationships and structures in a mixed method perspective."
"Tuesday 6/23/2026 Workshops: Half-Day","Tuesday","6/23/2026","2026-06-23","Half-Day","Morning","Mediation and Moderation Analysis in ERGM using ergMargins","Scott Duxbury and Jenna Wersching","Exponential random graph models (ERGM) are widely used in the social sciences to examine determinants of graph structure. This 3-hour workshop will introduce attendees to mediation and moderation analysis in ERGM using the ergMargins package for R. The workshop will describe why ERGM coefficients cannot be compared between models and why coefficients for interactionsâincluding node matching, node mixing, and other common measures of homophily and heterophilyâcannot be interpreted without adjustment. Topics covered will include (1) mediation analysis, (2) moderation analysis, (3) mediation analysis when the mediator is an interaction, and (4) mediation analysis when the main effect is an interaction. We will review a range of special cases, including interactions involving both continuous and discrete variables, necessary conditions for a causal interpretation, and mediation analysis involving endogenous graph statistics. Attendees will come away from the workshop with a deeper understanding of inferential difficulties in ERGM and with knowledge on how to address each issue using ergMargins."
"Tuesday 6/23/2026 Workshops: Half-Day","Tuesday","6/23/2026","2026-06-23","Half-Day","Morning","Continuous Time Network Dynamics with statnet","Carter T. Butts","Prerequisites: Some experience with R and familiarity with descriptive network concepts and statistical methods for network analysis in the R/statnet platform is expected. This workshop also assumes familiarity with ERGMs. Synopsis: This workshop will provide an introduction to modeling of network dynamics in continuous time using ERGM generating processes (EGPs). The exponential family random graph models (ERGMs) are a widely used framework for describing graph distributions, allowing flexible and parsimonious specification of both inhomogeneity (i.e., some ties are more likely than others) and dependence (i.e., some ties depend on others). EGPs complement ERGMs by providing ways of specifying continuous time dynamics whose long-run behavior recapitulates a specified ERGM distribution - thus allowing for dynamic network models that are consistent with specific cross-sectional behavior. In this session, we will begin with an overview of known classes of EGPs, with an eye to understanding the types of dynamic behavior embodied by each (and where they might be appropriate as empirical models). We will then discuss simulation and calibration of EGPs within the R/statnet platform, using the ergmgp package. We will show examples of the use of EGPs to generate dynamics consistent with cross-sectional network data combined with information on tie durations, including continuous time generalizations of the separable temporal ERGMs (STERGMs). Attendees are expected to have had some prior exposure to R and statnet, and completion of the statnet ERGM workshop session is strongly suggested as preparation for this session (as we will make extensive use of the ergm package). statnet is a collection of packages for the R statistical computing system that supports the representation, manipulation, visualization, modeling, simulation, and analysis of relational data. statnet packages are contributed by a team of volunteer developers, and are made freely available under the GNU Public License. These packages are written for the R statistical computing environment, and can be used with any computing platform that supports R (including Windows, Linux, and Mac). statnet packages can be used to handle a wide range of simulation and analysis tasks, including support for large networks, statistical network models, network dynamics, and missing data."
"Tuesday 6/23/2026 Workshops: Half-Day","Tuesday","6/23/2026","2026-06-23","Half-Day","Morning","Social Network Approaches for Behavior Change","Tom Valente","This workshop introduces the many ways that social networks influence individual and network-level behaviors. It also provides a brief introduction to analytic approaches for understanding network influences on behaviors; and reviews existing evidence for the utility of using social network data for behavior change in a variety of settings including health behaviors and organizational performance. A framework for using networks during program implementation is presented. The workshop also presents a typology of network interventions and reviews existing evidence on the effectiveness of network interventions. (Students familiar with the R environment may follow an R script written to demonstrate the 24 or so tactical interventions presented.) No software or computing requirements are needed. The workshop will be conducted by Tom Valente who has been developing and implementing network-based interventions for nearly 25 years."
"Tuesday 6/23/2026 Workshops: Half-Day","Tuesday","6/23/2026","2026-06-23","Half-Day","Afternoon","Soccer Analytics and the FIFA World Cup 2026","Ulrik Brandes and Gordana Marmulla","Association football (soccer) is a model system for network science.From the history of sports analytics, scheduling of competitions,prediction of results, ranking of teams, analysis of matches, andscouting of players to the transfer market, business development,governance, media coverage, event tourism, and fan engagement, thereare plenty of research opportunities that call for network approaches.The group stage of the FIFA World Cup 2026 concludes during Sunbelt,and will have daily updates featuring match analyses, civilizeddiscussions, and heated debates.For those interested in the methods on which these analyses are based,we provide an introduction to some non-standard approaches employingproximity networks, affiliation networks, and passing networks todetermine tactical elements such as dynamic player positioning. Many ofthem have been developed at ETH ZÃ¼rich and may or may not be used byTeam Switzerland. There will also be the opportunity for some hands-onexercises.The workshop is an introduction to the growing domain of socceranalytics. We provide an overview of problems and approaches, data andmeasurement, pitfalls and opportunities. It shall also make watchingworld cup matches even more interesting, and more fun."
"Tuesday 6/23/2026 Workshops: Half-Day","Tuesday","6/23/2026","2026-06-23","Half-Day","Afternoon","Valued Network Modeling with statnet","Pavel N. Krivitsky and Carter T. Butts","Prerequisites: Attendees are expected to have had some prior exposure to R, but extensive experience is not assumed. Familiarity with binary ERG modeling with the R/statnet platform (e.g., from the âExponential Family Random Graph (ERGM) Modeling with statnetâ workshop session) is assumed. Synopsis: This workshop session provides a tutorial using statnet software particularly ergm and latentnet to model social networks whose ties have weights (e.g., counts of interactions) or are ranks (i.e., each actor ranks the others according to some criterion), using latent space models and exponential-family random graph models (ERGMs) generalized to valued ties, and emphasizing a hands-on approach to fitting these models to empirical data. The ERGM framework allows for the parametrization, fitting, and simulation from models that incorporate the complex dependencies within relational data structures, and provides an extremely general and flexible means of representing them, while latent space models postulate an unobserved social space in which actors are embedded, facilitating principled visualization and group detection. Topics covered within this session include: importing, modifying, and exporting edge values on network objects; an overview of the valued ERGM framework and the notion of reference distribution; an overview of latent space models for social networks; defining and fitting models to empirical data, including ERGM terms meaningful for counts and ranks; interpretation of model coefficients; simulation of networks using these models; and ERGM degeneracy assessment. statnet is a collection of packages for the R statistical computing system that supports the representation, manipulation, visualization, modeling, simulation, and analysis of relational data. statnet packages are contributed by a team of volunteer developers, and are made freely available under the GNU Public License. These packages are written for the R statistical computing environment, and can be used with any computing platform that supports R (including Windows, Linux, and Mac). statnet packages can be used to handle a wide range of simulation and analysis tasks, including support for large networks, statistical networks, valued networks, network dynamics, and missing data."
"Tuesday 6/23/2026 Workshops: Half-Day","Tuesday","6/23/2026","2026-06-23","Half-Day","Afternoon","Artificial Intelligence for the Scientist in a Hurry","George G. Vega Yon","Artificial Intelligence (AI) is evolving at unprecedented speed, reshaping how we think, work, and collaborate. Once viewed primarily as a novel interface for interacting with computers, AI--especially with the rise of agentic systems and new model architectures--has become a powerful partner for researchers, educators, and practitioners across disciplines. This workshop introduces participants to core concepts in AI literacy while showcasing emerging trends and practical tools that can enhance everyday academic and professional workflows. Designed for both newcomers and experienced users, the session will highlight how to use AI ethically, creatively, and productively--well beyond generating emails or simple text. We will explore hands-on examples of leveraging AI for drafting and revising academic documents, supporting code development, and assisting with data analysis through agentic workflows. Participants will also learn about accessible online tools (such as ChatGPT and GitHub integrations) and programming-oriented options in R and Python, including local large language models through platforms like Ollama. The workshop blends conceptual foundations with live demonstrations, giving attendees a clear overview of what AI can do today--and what the near future may bring. No prior experience with AI is required; curiosity and an interest in expanding your toolkit are all you need."
"Wednesday 6/24/2026 Workshops: Half-Day","Wednesday","6/24/2026","2026-06-24","Half-Day","Morning","Understanding diffusion with NetdiffuseR","George G. Vega Yon, Tom Valente, and AnÃ­bal L. Olivera Morales","The netdiffuseR package provides tools for analyzing and simulating the diffusion of innovations and contagion processes on networks. In this workshop, we demonstrate the packageâs features by analyzing empirical and simulated data on the diffusion of innovations. The session will include examples of using netdiffuseR jointly with other network analysis packages such as RSiena, statnet, and igraph. NetdiffuseRâs main features are computing network exposure models based on weight matrices (direct ties, structural equivalence, attribute-weighted, etc.), thresholds, infectiousness, and susceptibility. The package works with both static and dynamic networks. Some other capabilities include handling relatively large graphs, simulating networks and diffusion of innovation processes, and visualizing the diffusion of innovations. While there are no prerequisites, it is suggested that you have a working knowledge of the R programming language. We will use the latest version of the netdiffuseR R package, which can be found on GitHub here: https://github.com/USCCANA/netdiffuseR. During the workshop day, we will provide access to a cloud version of RStudio with the latest version of netdiffuseR, so do not worry if you cannot install the package before the workshop."
"Wednesday 6/24/2026 Workshops: Half-Day","Wednesday","6/24/2026","2026-06-24","Half-Day","Morning","Introduction to Core Social Network Concepts","Steve Borgatti and Rich DeJordy","This workshop provides a conceptual survey of the major streams of social network theory. Rather than teaching methods or software, it situates foundational network ideas within the broader landscape of social theory. Core mathematical constructsâsuch as centrality, structural equivalence, and coreâperiphery structureâare introduced only to clarify the theoretical debates they support, not for hands-on analysis. The workshop is aimed at participants who are new to the network perspective and want a clear map of the fieldâs main theoretical conversations. The first part focuses on theories that treat network properties as drivers of outcomes. This includes classic work on social capital (weak ties, structural holes, social resources) and the contagion tradition (interpersonal influence, diffusion of innovation). We examine how centrality, cohesion, and related ideas are interpreted across these literatures, with attention to mechanisms, levels of analysis, and the role of social cognition in shaping perceived networks. The second part turns to theories that explain the origins of network structure. Here the emphasis is on why networks take the forms they do and why actors come to occupy particular positions. Topics include homophily, preferential attachment, opportunities and constraints in choice, balance theory, and other mechanisms of tie formation. By the end, participants will have a coherent framework for understanding how social scientists theorize about networksâboth as causes of outcomes and as outcomes themselvesâand how these lines of thought fit together in the broader social-scientific tradition."
"Wednesday 6/24/2026 Workshops: Half-Day","Wednesday","6/24/2026","2026-06-24","Half-Day","Morning","A comprehensive regression framework for studying relationships among predictors and outcomes in connected populations with spillover","Michael Schweinberger and Cornelius Fritz","In the interconnected and interdependent world of the twenty-first century, individual and collective outcomes â such as personal and public health, economic welfare, or war and peace â are affected by relationships among individual, corporate, state, and non-state actors. To understand how the world of the twenty-first century operates and make model-based predictions, it is vital to study networks of relationships and gain insight into how the structure of networks affects individual and collective outcomes. To study relationships among attributes under interference, a comprehensive regression framework for dependent predictors, outcomes, and connections is needed. We will provide workshop participants with a hands-on introduction to R package iglm, which implements a comprehensive regression framework for dependent predictors, treatments, outcomes, and connections with important advantages over existing approaches, including interpretability, scalability, and provable theoretical guarantees. We will demonstrate that R package iglm can be used to study spillover in connected populations, including hate speech on social media. Fritz, C., Schweinberger, M., Bhadra, S., and D.R. Hunter (in press). A regression framework for studying relationships among attributes under network interference. Journal of the American Statistical Association. A preprint is available at https://www.tandfonline.com/doi/full/10.1080/01621459.2025.2565851?src=exp-la or https://arxiv.org/abs/2410.07555"
